Asset type;Resource provider namespace/Entity;Abbreviation;Transformer;Validator1;Validator2;Validator3;Validator4
AKS cluster;Microsoft.ContainerService/managedClusters;aks;alphanumericsUnderscoresHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
App Configuration store;Microsoft.AppConfiguration/configurationStores;appcs;alphanumericsUnderscoresHyphens;startWithAlphanumeric;endWithAlphanumeric;50characterLimit;atLeast5Characters
App Service environment;Microsoft.Web/sites;ase;alphanumericsHyphens;;;60characterLimit;atLeast2Characters
App Service plan;Microsoft.Web/serverFarms;plan;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Application gateway;Microsoft.Network/applicationGateways;agw;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Application Insights;Microsoft.Insights/components;appi;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Application security group (ASG);Microsoft.Network/applicationSecurityGroups;asg;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Automation account;Microsoft.Automation/automationAccounts;aa;alphanumericsHyphens;startWithLetter;endWithAlphanumeric;50characterLimit;atLeast6Characters
Availability set;Microsoft.Compute/availabilitySets;avail;alphanumericsUnderscoresPeriodsHyphens;startWithAlphanumeric;endWithAlphanumericOrUnderscore;80characterLimit;
Azure Analysis Services server;Microsoft.AnalysisServices/servers;as;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Arc enabled Kubernetes cluster;Microsoft.Kubernetes/connectedClusters;arck;alphanumericsUnderscoresHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Arc enabled server;Microsoft.HybridCompute/machines;arcs;alphanumericsUnderscoresHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Cache for Redis instance;Microsoft.Cache/Redis;redis;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
Azure Cognitive Search;Microsoft.Search/searchServices;srch;alphanumericsHyphens;startWithAlphanumeric;endWithAlphanumeric;63characterLimit;
